articles_count,authors,classification,dependencies,description,homepage,id,keywords,license_terms,name,operating_systems,orms_id,programming_languages,related_software,source_code,standard_articles,zbmath_url
7,"Berwanger, Dietmar;Chatterjee, Krishnendu;De Wulf, Martin;Doyen, Laurent;Henzinger, Thomas A.",68;90;91,,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,http://rd.springer.com/chapter/10.1007%2F978-3-642-00768-2_7,32,,,Alpaga,,,,"Dict{Symbol, Any}(:id => 1186, :name => ""PRISM"");Dict{Symbol, Any}(:id => 25260, :name => ""Acacia+"");Dict{Symbol, Any}(:id => 3204, :name => ""POMDP"");Dict{Symbol, Any}(:id => 12935, :name => ""MOCHA"");Dict{Symbol, Any}(:id => 24778, :name => ""MCMAS-SLK"");Dict{Symbol, Any}(:id => 31992, :name => ""Mr. Waffles"");Dict{Symbol, Any}(:id => 31991, :name => ""CTLSAT"");Dict{Symbol, Any}(:id => 31989, :name => ""EAGLE"");Dict{Symbol, Any}(:id => 12912, :name => ""PRALINE"");Dict{Symbol, Any}(:id => 9463, :name => ""MCMAS"");Dict{Symbol, Any}(:id => 4702, :name => ""Uppaal"");Dict{Symbol, Any}(:id => 12913, :name => ""UPPAAL TIGA"");Dict{Symbol, Any}(:id => 20208, :name => ""Antichains"");Dict{Symbol, Any}(:id => 4446, :name => ""CUDD"")",,,https://zbmath.org/software/32
7,"Cook, Grant O.jun.;Painter, Jeffrey F.",00;45;65;68,,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,http://dl.acm.org/citation.cfm?id=143260,33,automatic code generation;ALPAL;livermore physics applications language;nonlinear partial differential equations;integro-differential equations,,ALPAL,,,,"Dict{Symbol, Any}(:id => 4299, :name => ""GENTRAN"");Dict{Symbol, Any}(:id => 12688, :name => ""PDEQSOL"");Dict{Symbol, Any}(:id => 2203, :name => ""CTADEL"");Dict{Symbol, Any}(:id => 636, :name => ""NSPCG"");Dict{Symbol, Any}(:id => 503, :name => ""LAPACK"");Dict{Symbol, Any}(:id => 7692, :name => ""SPARSKIT"");Dict{Symbol, Any}(:id => 7104, :name => ""FINGER"");Dict{Symbol, Any}(:id => 4031, :name => ""ITSOL"");Dict{Symbol, Any}(:id => 1208, :name => ""ELLPACK"");Dict{Symbol, Any}(:id => 554, :name => ""Mathematica"");Dict{Symbol, Any}(:id => 1209, :name => ""MACSYMA"");Dict{Symbol, Any}(:id => 25130, :name => ""OpenSBLI"");Dict{Symbol, Any}(:id => 14864, :name => ""Loo.py"");Dict{Symbol, Any}(:id => 16638, :name => ""Devito"");Dict{Symbol, Any}(:id => 35949, :name => ""YASK"");Dict{Symbol, Any}(:id => 35948, :name => ""CGen"");Dict{Symbol, Any}(:id => 34026, :name => ""PDEL"");Dict{Symbol, Any}(:id => 22108, :name => ""Halide"");Dict{Symbol, Any}(:id => 19046, :name => ""Simflowny"");Dict{Symbol, Any}(:id => 15728, :name => ""PyFR"")",,"Dict{Symbol, Any}(:year => ""1992"", :authors => Any[], :id => 139711, :title => ""zbMATH Open Web Interface contents unavailable due to conflicting licenses."", :source => ""zbMATH Open Web Interface contents unavailable due to conflicting licenses."")",https://zbmath.org/software/33
10,Robert J. Vanderbei,00;65;81;90;94,,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,http://joc.journal.informs.org/cgi/content/abstract/5/2/134,35,linear program algorithms,,ALPO,,,,"Dict{Symbol, Any}(:id => 5095, :name => ""MINOS"");Dict{Symbol, Any}(:id => 9295, :name => ""OSL"");Dict{Symbol, Any}(:id => 4342, :name => ""HOPDM"");Dict{Symbol, Any}(:id => 4978, :name => ""GAMS"");Dict{Symbol, Any}(:id => 8566, :name => ""symrcm"");Dict{Symbol, Any}(:id => 14267, :name => ""l1_ls"");Dict{Symbol, Any}(:id => 558, :name => ""Matlab"");Dict{Symbol, Any}(:id => 31782, :name => ""LPbook"");Dict{Symbol, Any}(:id => 8727, :name => ""CoSaMP"");Dict{Symbol, Any}(:id => 5148, :name => ""PDCO"");Dict{Symbol, Any}(:id => 2212, :name => ""LOQO"")",,"Dict{Symbol, Any}(:year => ""1993"", :authors => Any[], :id => 404911, :title => ""zbMATH Open Web Interface contents unavailable due to conflicting licenses."", :source => ""zbMATH Open Web Interface contents unavailable due to conflicting licenses."")",https://zbmath.org/software/35
17,"Ralphs, T.K.;Ládanyi, L.;Saltzman, M.J.",65;68;82;90;92,,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,https://projects.coin-or.org/CHiPPS,36,,,ALPS,,,,"Dict{Symbol, Any}(:id => 6321, :name => ""BiCePS"");Dict{Symbol, Any}(:id => 7210, :name => ""CHiPPS"");Dict{Symbol, Any}(:id => 6319, :name => ""BLIS"");Dict{Symbol, Any}(:id => 4718, :name => ""SYMPHONY"");Dict{Symbol, Any}(:id => 2252, :name => ""PICO"");Dict{Symbol, Any}(:id => 4082, :name => ""CPLEX"");Dict{Symbol, Any}(:id => 4067, :name => ""MIPLIB"");Dict{Symbol, Any}(:id => 6292, :name => ""ParaSCIP"");Dict{Symbol, Any}(:id => 13809, :name => ""PEBBL"");Dict{Symbol, Any}(:id => 1091, :name => ""SCIP"");Dict{Symbol, Any}(:id => 3500, :name => ""UG"");Dict{Symbol, Any}(:id => 4615, :name => ""COIN-OR"");Dict{Symbol, Any}(:id => 2948, :name => ""ABACUS"");Dict{Symbol, Any}(:id => 4770, :name => ""Concorde"");Dict{Symbol, Any}(:id => 5421, :name => ""DSP"");Dict{Symbol, Any}(:id => 23170, :name => ""GitHub"");Dict{Symbol, Any}(:id => 17879, :name => ""ParaLEX"");Dict{Symbol, Any}(:id => 265, :name => ""FATCOP"");Dict{Symbol, Any}(:id => 7675, :name => ""MIPLIB2003"");Dict{Symbol, Any}(:id => 6291, :name => ""FiberSCIP"")",https://github.com/coin-or/CHiPPS-ALPS,"Dict{Symbol, Any}(:year => ""2004"", :authors => Any[], :id => 2153847, :title => ""zbMATH Open Web Interface contents unavailable due to conflicting licenses."", :source => ""zbMATH Open Web Interface contents unavailable due to conflicting licenses."")",https://zbmath.org/software/36
4,"Xiaoxu Guan, C.J. Noble, O. Zatsarinny, K. Bartschat, B.I. Schneider",35;65;81;82,,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,http://cpc.cs.qub.ac.uk/summaries/AEDM_v1_0.html,37,Time-dependent Schr&ouml;dinger equation;Arnoldi-Lanczos;attosecond intense laser-atom interactions.,,ALTDSE,"Linux, OpenMP.",,"Fortran 95. [A Fortran 2003 call to &quot;flush&quot; is used to simplify monitoring the output file during execution. If this function is not available, these statements should be commented out.].","Dict{Symbol, Any}(:id => 503, :name => ""LAPACK"");Dict{Symbol, Any}(:id => 16758, :name => ""DMTDHF"");Dict{Symbol, Any}(:id => 3002, :name => ""GAMESS"");Dict{Symbol, Any}(:id => 25210, :name => ""SLIMP"");Dict{Symbol, Any}(:id => 12499, :name => ""Associated Legendre Functions"");Dict{Symbol, Any}(:id => 8525, :name => ""OCTOPUS"");Dict{Symbol, Any}(:id => 3258, :name => ""CUDA"");Dict{Symbol, Any}(:id => 37208, :name => ""Dirac++"");Dict{Symbol, Any}(:id => 16747, :name => ""Dirac_Laczos"");Dict{Symbol, Any}(:id => 9223, :name => ""Boost"");Dict{Symbol, Any}(:id => 758, :name => ""Qprop"");Dict{Symbol, Any}(:id => 17634, :name => ""CLTDSE"");Dict{Symbol, Any}(:id => 554, :name => ""Mathematica"")",,"Dict{Symbol, Any}(:year => ""2009"", :authors => Any[], :id => 5807155, :title => ""zbMATH Open Web Interface contents unavailable due to conflicting licenses."", :source => ""zbMATH Open Web Interface contents unavailable due to conflicting licenses."")",https://zbmath.org/software/37
40,"J. Gluza, K. Kajda, T. Riemann",33;65;68;81;83;11;14;16;17;30;46;70;82,Mathematica,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,http://cpc.cs.qub.ac.uk/summaries/ADZR_v1_0.html,38,perturbative quantum field theory;Mellin-Barnes integrals;Feynman integrals.,,AMBRE,All.,,MATHEMATICA v.5.0 and later versions.,"Dict{Symbol, Any}(:id => 16360, :name => ""FIESTA"");Dict{Symbol, Any}(:id => 10421, :name => ""MBresolve"");Dict{Symbol, Any}(:id => 10420, :name => ""MBasymptotics"");Dict{Symbol, Any}(:id => 10354, :name => ""Reduze"");Dict{Symbol, Any}(:id => 554, :name => ""Mathematica"");Dict{Symbol, Any}(:id => 6109, :name => ""XSummer"");Dict{Symbol, Any}(:id => 21526, :name => ""MBsums"");Dict{Symbol, Any}(:id => 6834, :name => ""SecDec"");Dict{Symbol, Any}(:id => 16341, :name => ""LiteRed"");Dict{Symbol, Any}(:id => 10355, :name => ""FIRE"");Dict{Symbol, Any}(:id => 34816, :name => ""Kira"");Dict{Symbol, Any}(:id => 9051, :name => ""FORM"");Dict{Symbol, Any}(:id => 41940, :name => ""OreSys"");Dict{Symbol, Any}(:id => 173, :name => ""Cuba"");Dict{Symbol, Any}(:id => 31434, :name => ""MBnumerics"");Dict{Symbol, Any}(:id => 15013, :name => ""Nestedsums"");Dict{Symbol, Any}(:id => 10035, :name => ""HarmonicSums"");Dict{Symbol, Any}(:id => 425, :name => ""Hypexp"");Dict{Symbol, Any}(:id => 41195, :name => ""FiniteFlow"");Dict{Symbol, Any}(:id => 25867, :name => ""HyperInt"")",,"Dict{Symbol, Any}(:year => ""2007"", :authors => Any[], :id => 5801742, :title => ""zbMATH Open Web Interface contents unavailable due to conflicting licenses."", :source => ""zbMATH Open Web Interface contents unavailable due to conflicting licenses."")",https://zbmath.org/software/38
69,"Amestoy, Patrick R.;Enseeith-Irit;Davis, Timothy A.;Duff, Iain S.",05;49;65;74;90;12;14;15;34;35;41;62;68;76;78;80;91;92;93,Matlab,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,http://gams.nist.gov/cgi-bin/serve.cgi/Package/AMD,39,direct method;matrix factorization algorithm;meshless methods;numerical examples;Petrov-Galerkin method,,AMD,,,,"Dict{Symbol, Any}(:id => 4629, :name => ""SparseMatrix"");Dict{Symbol, Any}(:id => 20382, :name => ""CSparse"");Dict{Symbol, Any}(:id => 558, :name => ""Matlab"");Dict{Symbol, Any}(:id => 507, :name => ""LDL"");Dict{Symbol, Any}(:id => 989, :name => ""UMFPACK"");Dict{Symbol, Any}(:id => 4412, :name => ""CHOLMOD"");Dict{Symbol, Any}(:id => 4013, :name => ""MUMPS"");Dict{Symbol, Any}(:id => 536, :name => ""MA57"");Dict{Symbol, Any}(:id => 418, :name => ""HSL"");Dict{Symbol, Any}(:id => 6365, :name => ""KLU"");Dict{Symbol, Any}(:id => 145, :name => ""COLAMD"");Dict{Symbol, Any}(:id => 4618, :name => ""Mosek"");Dict{Symbol, Any}(:id => 503, :name => ""LAPACK"");Dict{Symbol, Any}(:id => 4089, :name => ""METIS"");Dict{Symbol, Any}(:id => 4012, :name => ""PETSc"");Dict{Symbol, Any}(:id => 23170, :name => ""GitHub"");Dict{Symbol, Any}(:id => 4009, :name => ""SDPT3"");Dict{Symbol, Any}(:id => 4002, :name => ""SeDuMi"");Dict{Symbol, Any}(:id => 48, :name => ""ARMS"");Dict{Symbol, Any}(:id => 930, :name => ""SuperLU"")",,"Dict{Symbol, Any}(:year => ""2004"", :authors => Any[], :id => 2187991, :title => ""zbMATH Open Web Interface contents unavailable due to conflicting licenses."", :source => ""zbMATH Open Web Interface contents unavailable due to conflicting licenses."")",https://zbmath.org/software/39
1,"Yuan, X.;Roig, C.;Ripoll, A.;Senar, M.A.;Guirado, F.;Luque, E.",68,,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,http://www.springerlink.com/content/2u4edk1480vrbt3y/,40,,,AMEEDA,,,,,,"Dict{Symbol, Any}(:year => ""2002"", :authors => Any[], :id => 2090590, :title => ""zbMATH Open Web Interface contents unavailable due to conflicting licenses."", :source => ""zbMATH Open Web Interface contents unavailable due to conflicting licenses."")",https://zbmath.org/software/40
1,"Hirschsohn, I.",,,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,http://portal.acm.org/citation.cfm?id=362746,41,computer science and automata,,AMESPLOT,,,,,,"Dict{Symbol, Any}(:year => ""1970"", :authors => Any[], :id => 3318306, :title => ""zbMATH Open Web Interface contents unavailable due to conflicting licenses."", :source => ""zbMATH Open Web Interface contents unavailable due to conflicting licenses."")",https://zbmath.org/software/41
1,"Dmitrii Silvestrov, Anatoliy Malyarenko",62;91,Java Runtime Environment,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,http://www.nbuv.gov.ua/portal/natural/tsp/texts/2007_13_4/2007_13_4_15.pdf,43,Analytical finance;applet;Java;stochastic simulation,free,Analytical Finance Package,"Linux x86, Win32, Mac OS X",,,,,"Dict{Symbol, Any}(:year => ""2007"", :authors => Any[], :id => 5520765, :title => ""zbMATH Open Web Interface contents unavailable due to conflicting licenses."", :source => ""zbMATH Open Web Interface contents unavailable due to conflicting licenses."")",https://zbmath.org/software/43
