articles_count,authors,classification,dependencies,description,homepage,id,keywords,license_terms,name,operating_systems,orms_id,programming_languages,related_software,source_code,standard_articles,zbmath_url
811,"John Swanson, Ansys Inc.",65;74;76;80;92;00;03;05;26;30;33;34;35;37;41;45;47;49;51;53;62;68;70;78;82;86;90;91;93;94;97,,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,http://www.ansys.com/,44,Pre-stress;Modal analysis;Vibrations;Finite elements;ANSYS,,ANSYS,,,,"Dict{Symbol, Any}(:id => 4215, :name => ""ABAQUS"");Dict{Symbol, Any}(:id => 558, :name => ""Matlab"");Dict{Symbol, Any}(:id => 4263, :name => ""FLUENT"");Dict{Symbol, Any}(:id => 6391, :name => ""ANSYS-CFX"");Dict{Symbol, Any}(:id => 4245, :name => ""NASTRAN"");Dict{Symbol, Any}(:id => 4091, :name => ""COMSOL"");Dict{Symbol, Any}(:id => 33987, :name => ""APDL"");Dict{Symbol, Any}(:id => 4317, :name => ""OpenFOAM"");Dict{Symbol, Any}(:id => 3068, :name => ""LS-DYNA"");Dict{Symbol, Any}(:id => 1175, :name => ""ADINA"");Dict{Symbol, Any}(:id => 554, :name => ""Mathematica"");Dict{Symbol, Any}(:id => 4012, :name => ""PETSc"");Dict{Symbol, Any}(:id => 6128, :name => ""ParaView"");Dict{Symbol, Any}(:id => 40754, :name => ""Spalart-Allmaras"");Dict{Symbol, Any}(:id => 14460, :name => ""Python"");Dict{Symbol, Any}(:id => 10822, :name => ""FEAPpv"");Dict{Symbol, Any}(:id => 3258, :name => ""CUDA"");Dict{Symbol, Any}(:id => 7161, :name => ""ABAQUS/Standard"");Dict{Symbol, Any}(:id => 4218, :name => ""ARPACK"");Dict{Symbol, Any}(:id => 503, :name => ""LAPACK"")",,,https://zbmath.org/software/44
83,"Jeannet, Bertrand;Miné, Antoine",52;65;68;76;90;03;05;35;60;62;70;86;93;94,,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,http://apron.cri.ensmp.fr/library/0.9.10/apron.pdf,45,,,Apron,,,,"Dict{Symbol, Any}(:id => 13704, :name => ""ASTREE"");Dict{Symbol, Any}(:id => 5357, :name => ""PPL"");Dict{Symbol, Any}(:id => 4887, :name => ""z3"");Dict{Symbol, Any}(:id => 161, :name => ""Coq"");Dict{Symbol, Any}(:id => 13702, :name => ""Octagon"");Dict{Symbol, Any}(:id => 6363, :name => ""OCaml"");Dict{Symbol, Any}(:id => 13095, :name => ""PAGAI"");Dict{Symbol, Any}(:id => 4125, :name => ""HyTech"");Dict{Symbol, Any}(:id => 9095, :name => ""Interproc"");Dict{Symbol, Any}(:id => 4103, :name => ""SMT-LIB"");Dict{Symbol, Any}(:id => 9485, :name => ""CVC4"");Dict{Symbol, Any}(:id => 4438, :name => ""Why3"");Dict{Symbol, Any}(:id => 4954, :name => ""Aspic"");Dict{Symbol, Any}(:id => 4953, :name => ""Dagger"");Dict{Symbol, Any}(:id => 9569, :name => ""MathSAT5"");Dict{Symbol, Any}(:id => 7260, :name => ""DART"");Dict{Symbol, Any}(:id => 7714, :name => ""Boogie"");Dict{Symbol, Any}(:id => 4894, :name => ""KLEE"");Dict{Symbol, Any}(:id => 23170, :name => ""GitHub"");Dict{Symbol, Any}(:id => 724, :name => ""polymake"")",,,https://zbmath.org/software/45
39,Tapio Schneider;Arnold Neumaier,62;68;92;93;94;37;60;65;76;85;86;90;91,Matlab,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,http://climate-dynamics.org/software/#arfit,46,Matlab;multivariate time series;autoregressive models;statistics,,ARfit,,,Matlab,"Dict{Symbol, Any}(:id => 7225, :name => ""FastICA"");Dict{Symbol, Any}(:id => 558, :name => ""Matlab"");Dict{Symbol, Any}(:id => 4827, :name => ""mctoolbox"");Dict{Symbol, Any}(:id => 15047, :name => ""ICALAB"");Dict{Symbol, Any}(:id => 11210, :name => ""itsmr"");Dict{Symbol, Any}(:id => 8341, :name => ""ODEPACK"");Dict{Symbol, Any}(:id => 2066, :name => ""EnKF"");Dict{Symbol, Any}(:id => 18380, :name => ""glinternet"");Dict{Symbol, Any}(:id => 19105, :name => ""bootstrap"");Dict{Symbol, Any}(:id => 12177, :name => ""TETRAD"");Dict{Symbol, Any}(:id => 7868, :name => ""LMOMENTS"");Dict{Symbol, Any}(:id => 23856, :name => ""extRemes"");Dict{Symbol, Any}(:id => 11209, :name => ""ismev"");Dict{Symbol, Any}(:id => 1410, :name => ""MSLiP"");Dict{Symbol, Any}(:id => 11944, :name => ""sapa"");Dict{Symbol, Any}(:id => 646, :name => ""Octave"");Dict{Symbol, Any}(:id => 7368, :name => ""EEGLAB"");Dict{Symbol, Any}(:id => 11126, :name => ""Flury"")",,"Dict{Symbol, Any}(:year => ""2001"", :authors => Any[], :id => 2187790, :title => ""zbMATH Open Web Interface contents unavailable due to conflicting licenses."", :source => ""zbMATH Open Web Interface contents unavailable due to conflicting licenses."")",https://zbmath.org/software/46
2,"Zhou, Haofeng;Zhu, Jianqiu;Zhu, Yangyong;Shi, Baile",68,,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,http://portal.acm.org/citation.cfm?id=606105,47,concept hierarchy,,ARMiner,,,,,,"Dict{Symbol, Any}(:year => ""2002"", :authors => Any[], :id => 1843980, :title => ""zbMATH Open Web Interface contents unavailable due to conflicting licenses."", :source => ""zbMATH Open Web Interface contents unavailable due to conflicting licenses."")",https://zbmath.org/software/47
69,"Saad, Y.;Suchomel, B.",35;62;65;68;76;01;05;15;60;74;78;86;92;94,,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,http://www-users.cs.umn.edu/~saad/software/,48,incomplete LU factorization;ILUT;multilevel ILU preconditioner;Krylov subspace methods;multi-elimination;recursive solution;Nested dissection;mutigrid,,ARMS,,,,"Dict{Symbol, Any}(:id => 8734, :name => ""ILUT"");Dict{Symbol, Any}(:id => 4629, :name => ""SparseMatrix"");Dict{Symbol, Any}(:id => 7244, :name => ""ILUM"");Dict{Symbol, Any}(:id => 683, :name => ""pARMS"");Dict{Symbol, Any}(:id => 7243, :name => ""BILUTM"");Dict{Symbol, Any}(:id => 4015, :name => ""BILUM"");Dict{Symbol, Any}(:id => 8566, :name => ""symrcm"");Dict{Symbol, Any}(:id => 10477, :name => ""ILUPACK"");Dict{Symbol, Any}(:id => 4013, :name => ""MUMPS"");Dict{Symbol, Any}(:id => 503, :name => ""LAPACK"");Dict{Symbol, Any}(:id => 9387, :name => ""VBARMS"");Dict{Symbol, Any}(:id => 679, :name => ""PARDISO"");Dict{Symbol, Any}(:id => 39, :name => ""AMD"");Dict{Symbol, Any}(:id => 12938, :name => ""BFSAI-IC"");Dict{Symbol, Any}(:id => 86, :name => ""BoomerAMG"");Dict{Symbol, Any}(:id => 5807, :name => ""BPKit"");Dict{Symbol, Any}(:id => 3216, :name => ""BLAS"");Dict{Symbol, Any}(:id => 7692, :name => ""SPARSKIT"");Dict{Symbol, Any}(:id => 4089, :name => ""METIS"");Dict{Symbol, Any}(:id => 4031, :name => ""ITSOL"")",,"Dict{Symbol, Any}(:year => ""2002"", :authors => Any[], :id => 2206702, :title => ""zbMATH Open Web Interface contents unavailable due to conflicting licenses."", :source => ""zbMATH Open Web Interface contents unavailable due to conflicting licenses."")",https://zbmath.org/software/48
14,"Buša, Ján;Džurina, Jozef;Hayryan, Edik;Hayryan, Shura;Hu, Chin-Kun;Plavka, Ján;Pokorný, Imrich;Skřivánek, Jaroslav;Wu, Ming-Chya",58;65;68;82;92;00;35;37;45;51;52;53;60;70;94,,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,http://cpc.cs.qub.ac.uk/summaries/ADUL_v1_0.html,49,proteins;analytical equations;stereographic projection;percolation probability,,ARVO,LINUX system and Windows 98 system.,,FORTRAN 77.,"Dict{Symbol, Any}(:id => 882, :name => ""SMMP"");Dict{Symbol, Any}(:id => 9282, :name => ""CAVE"");Dict{Symbol, Any}(:id => 12497, :name => ""SURFNET"");Dict{Symbol, Any}(:id => 12496, :name => ""VADAR"");Dict{Symbol, Any}(:id => 33406, :name => ""OBBTree"");Dict{Symbol, Any}(:id => 22513, :name => ""OPCODE"");Dict{Symbol, Any}(:id => 14142, :name => ""DiFi"")",,"Dict{Symbol, Any}(:year => ""2005"", :authors => Any[], :id => 5801453, :title => ""zbMATH Open Web Interface contents unavailable due to conflicting licenses."", :source => ""zbMATH Open Web Interface contents unavailable due to conflicting licenses."")",https://zbmath.org/software/49
6,"Claire Lefèvre, Pascal Nicolas, Stéphane Ngoma",68,dependencies,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,http://www.info.univ-angers.fr/pub/claire/asperix/,50,keywords,GNU Public Licence,ASPeRiX,multi platform,,C++,"Dict{Symbol, Any}(:id => 2524, :name => ""ASSAT"");Dict{Symbol, Any}(:id => 4630, :name => ""Gringo"");Dict{Symbol, Any}(:id => 33084, :name => ""OMiGA"");Dict{Symbol, Any}(:id => 9893, :name => ""Clingo"");Dict{Symbol, Any}(:id => 4631, :name => ""Smodels"");Dict{Symbol, Any}(:id => 577, :name => ""MiniSat"");Dict{Symbol, Any}(:id => 7096, :name => ""GASP"");Dict{Symbol, Any}(:id => 4435, :name => ""Cmodels"");Dict{Symbol, Any}(:id => 367, :name => ""GNT"")",,,https://zbmath.org/software/50
16,Thomas Hellström,60;62;68;90;91;86;93,as MATLAB function or as Windows application to be run under MATLAB,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,http://www8.cs.umu.se/~thomash/reports/astahome.htm,51,trading rules;trading simulations;returns;ranks;stock predictions,free for academic use,ASTA,Windows,,MATLAB,"Dict{Symbol, Any}(:id => 558, :name => ""Matlab"")",,"Dict{Symbol, Any}(:year => ""1999"", :authors => Any[], :id => 1475701, :title => ""zbMATH Open Web Interface contents unavailable due to conflicting licenses."", :source => ""zbMATH Open Web Interface contents unavailable due to conflicting licenses."")",https://zbmath.org/software/51
12,"Contini, S.;Scheer, S.;Wilikens, M.;de Cola, G.;Cojazzi, G.",01;03;65;68;74;00;44;81;85;92,,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,http://rd.springer.com/chapter/10.1007/978-3-7091-6355-9_6,52,,,ASTRA,,,,"Dict{Symbol, Any}(:id => 8365, :name => ""SPGL1"");Dict{Symbol, Any}(:id => 558, :name => ""Matlab"");Dict{Symbol, Any}(:id => 27583, :name => ""TVR-DART"");Dict{Symbol, Any}(:id => 14526, :name => ""STIR"");Dict{Symbol, Any}(:id => 14525, :name => ""tomoRecon"");Dict{Symbol, Any}(:id => 14524, :name => ""ASTRA"");Dict{Symbol, Any}(:id => 6241, :name => ""Spot"")",,"Dict{Symbol, Any}(:year => ""1999"", :authors => Any[], :id => 1390246, :title => ""zbMATH Open Web Interface contents unavailable due to conflicting licenses."", :source => ""zbMATH Open Web Interface contents unavailable due to conflicting licenses."")",https://zbmath.org/software/52
10,"A.G. Abrashkevich, I.V. Puzynin, S.I. Vinitsky",34;35;60;62;65;58;92,,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,http://cpc.cs.qub.ac.uk/summaries/ADLL,53,Atomic physics;Structure;Scattering;Electron;Two-electron systems;Hyperspherical Coordinates;Schrodinger equation;Adiabatic approach;Potential curves;Adiabatic potentials;Perturbation theory;Dipole asymptotics;Second-order corrections,adll_v1_0 Licence.,ASYMPT,"IRIX64 6.1/6.4, AIX 3.2.5, HP-UX 9.01, Linux 2.0.36",,Fortran,"Dict{Symbol, Any}(:id => 19948, :name => ""POTHEA"");Dict{Symbol, Any}(:id => 2828, :name => ""KANTBP 2.0"");Dict{Symbol, Any}(:id => 1342, :name => ""POTHMF"");Dict{Symbol, Any}(:id => 648, :name => ""ODPEVP"");Dict{Symbol, Any}(:id => 482, :name => ""KANTBP"")",,"Dict{Symbol, Any}(:year => ""2000"", :authors => Any[], :id => 1437225, :title => ""zbMATH Open Web Interface contents unavailable due to conflicting licenses."", :source => ""zbMATH Open Web Interface contents unavailable due to conflicting licenses."")",https://zbmath.org/software/53
1,"Gerdt, V.P.;Khutornoj, N.V.;Zharkov, A.Yu.",13;68,,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,http://inis.iaea.org/search/search.aspx?orig_q=RN:24048185,54,REDUCE;systems of polynomial equations;Groebner bases,,ASYS,,,,"Dict{Symbol, Any}(:id => 1048, :name => ""Felix"");Dict{Symbol, Any}(:id => 789, :name => ""REDUCE"")",,,https://zbmath.org/software/54
12,"V.A. Ilyin, A.P. Kryukov",13;20;53;65;68;05;15;16;60;81;91,,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,http://cpc.cs.qub.ac.uk/summaries/ADDQ_v1_0.html,55,Tensor;Symmetry;Multiterm linear  Identities;Dummy indices;Simplification;Permutation group;Reduce;Computer algebra.,,ATENSOR,UNIX.,,Reduce.,"Dict{Symbol, Any}(:id => 9364, :name => ""MathTensor"");Dict{Symbol, Any}(:id => 805, :name => ""Riegeom"");Dict{Symbol, Any}(:id => 446, :name => ""Invar"");Dict{Symbol, Any}(:id => 789, :name => ""REDUCE"");Dict{Symbol, Any}(:id => 4984, :name => ""xTensor"");Dict{Symbol, Any}(:id => 393, :name => ""GRTensorII"");Dict{Symbol, Any}(:id => 97, :name => ""Cadabra"");Dict{Symbol, Any}(:id => 16359, :name => ""Ricci"");Dict{Symbol, Any}(:id => 20303, :name => ""Redberry"");Dict{Symbol, Any}(:id => 9051, :name => ""FORM"");Dict{Symbol, Any}(:id => 102, :name => ""Canon"");Dict{Symbol, Any}(:id => 855, :name => ""SHEEP"");Dict{Symbol, Any}(:id => 6018, :name => ""Redten"");Dict{Symbol, Any}(:id => 545, :name => ""Maple"");Dict{Symbol, Any}(:id => 7593, :name => ""DifferentialGeometry"");Dict{Symbol, Any}(:id => 560, :name => ""Maxima"");Dict{Symbol, Any}(:id => 37557, :name => ""xTerior"");Dict{Symbol, Any}(:id => 6294, :name => ""NumPy"");Dict{Symbol, Any}(:id => 6590, :name => ""Matplotlib"");Dict{Symbol, Any}(:id => 15655, :name => ""IPython"")",,"Dict{Symbol, Any}(:year => ""1996"", :authors => Any[], :id => 1274745, :title => ""zbMATH Open Web Interface contents unavailable due to conflicting licenses."", :source => ""zbMATH Open Web Interface contents unavailable due to conflicting licenses."")",https://zbmath.org/software/55
204,R. Clint Whaley,15;65;68;76;90;01;05;08;11;12;14;17;20;22;34;35;37;41;42;47;55;62;70;74;78;81;82;86;92;94,,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,http://math-atlas.sourceforge.net/,56,orms,,ATLAS,,262,,"Dict{Symbol, Any}(:id => 503, :name => ""LAPACK"");Dict{Symbol, Any}(:id => 3216, :name => ""BLAS"");Dict{Symbol, Any}(:id => 4898, :name => ""PHiPAC"");Dict{Symbol, Any}(:id => 4126, :name => ""FFTW"");Dict{Symbol, Any}(:id => 830, :name => ""ScaLAPACK"");Dict{Symbol, Any}(:id => 7006, :name => ""OSKI"");Dict{Symbol, Any}(:id => 558, :name => ""Matlab"");Dict{Symbol, Any}(:id => 4827, :name => ""mctoolbox"");Dict{Symbol, Any}(:id => 903, :name => ""SPIRAL"");Dict{Symbol, Any}(:id => 4629, :name => ""SparseMatrix"");Dict{Symbol, Any}(:id => 2792, :name => ""GEMM"");Dict{Symbol, Any}(:id => 6975, :name => ""MKL"");Dict{Symbol, Any}(:id => 293, :name => ""FLAME"");Dict{Symbol, Any}(:id => 3258, :name => ""CUDA"");Dict{Symbol, Any}(:id => 4268, :name => ""PLAPACK"");Dict{Symbol, Any}(:id => 4209, :name => ""LINPACK"");Dict{Symbol, Any}(:id => 4208, :name => ""EISPACK"");Dict{Symbol, Any}(:id => 771, :name => ""R"");Dict{Symbol, Any}(:id => 4021, :name => ""JDQR"");Dict{Symbol, Any}(:id => 12617, :name => ""OpenBLAS"")",,"Dict{Symbol, Any}(:year => ""2001"", :authors => Any[], :id => 1635123, :title => ""zbMATH Open Web Interface contents unavailable due to conflicting licenses."", :source => ""zbMATH Open Web Interface contents unavailable due to conflicting licenses."")",https://zbmath.org/software/56
4,"S. Stamatiadis, R. Prosmiti, S.C. Farantos",65;68,,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,http://cpc.cs.qub.ac.uk/summaries/ADLS_v1_0.html,57,General purpose;Differential equations;Molecular physics;Vibration;Automatic;Differentiation;Derivatives;Fortran 90;Potential energy;Surfaces;Molecular dynamics;Non linear mechanics.,,AUTO_DERIV,"GNU/Linux, AIX 4.3, HP-UX B.10.01.",,Fortran.,"Dict{Symbol, Any}(:id => 2185, :name => ""ADIFOR"");Dict{Symbol, Any}(:id => 19, :name => ""ADOL-C"");Dict{Symbol, Any}(:id => 725, :name => ""POMULT"");Dict{Symbol, Any}(:id => 7711, :name => ""Cosy"");Dict{Symbol, Any}(:id => 950, :name => ""TaylUR"");Dict{Symbol, Any}(:id => 418, :name => ""HSL"");Dict{Symbol, Any}(:id => 17, :name => ""ADF95"");Dict{Symbol, Any}(:id => 14460, :name => ""Python"");Dict{Symbol, Any}(:id => 2687, :name => ""ADMIT"");Dict{Symbol, Any}(:id => 12533, :name => ""Odyssee"");Dict{Symbol, Any}(:id => 12526, :name => ""AD01"");Dict{Symbol, Any}(:id => 10821, :name => ""AceGen"");Dict{Symbol, Any}(:id => 8807, :name => ""SUIF"");Dict{Symbol, Any}(:id => 7492, :name => ""TAF"");Dict{Symbol, Any}(:id => 7198, :name => ""TAMC"");Dict{Symbol, Any}(:id => 6647, :name => ""ADiMat"");Dict{Symbol, Any}(:id => 4978, :name => ""GAMS"");Dict{Symbol, Any}(:id => 4891, :name => ""ROSE"");Dict{Symbol, Any}(:id => 4866, :name => ""CppAD"");Dict{Symbol, Any}(:id => 4863, :name => ""FADBAD++"")",,"Dict{Symbol, Any}(:year => ""2010"", :authors => Any[], :id => 5915781, :title => ""zbMATH Open Web Interface contents unavailable due to conflicting licenses."", :source => ""zbMATH Open Web Interface contents unavailable due to conflicting licenses."");Dict{Symbol, Any}(:year => ""2000"", :authors => Any[], :id => 1485020, :title => ""zbMATH Open Web Interface contents unavailable due to conflicting licenses."", :source => ""zbMATH Open Web Interface contents unavailable due to conflicting licenses."")",https://zbmath.org/software/57
